@relation Phishing.Detection


 @attribute ipaddress {True,False}
 @attribute portNumber {True,False}
 @attribute protocol {http,https,other}
 @attribute domain_in_hostname {True,False}
 @attribute obfuscation_characters {True,False}
 @attribute subdomain_path {True,False}
 @attribute phising {True,False}

 @data 
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,True,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
True,False,http,False,False,True,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,True,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
True,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,True,False,True,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,False,True,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,True,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,True,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,True,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,https,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,True,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,https,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,True,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,True,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,True,False,True,True
False,False,http,True,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,True,True
True,False,http,False,False,True,True
True,False,http,False,False,True,True
False,False,http,False,True,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
True,False,http,False,False,True,True
True,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
True,False,http,False,False,False,True
False,False,http,False,False,True,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,False,False,False,True
False,False,http,True,False,False,True
False,False,http,False,False,True,True
